Date/Hour: 12-02-2014/17:09:33 - Username:  - Request: login - Answer: ok - Details: 127.0.0.1 - Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/32.0.1700.107 Safari/537.36
Date/Hour: 12-02-2014/17:09:48 - Username:  - Request: login - Answer: denied - Details: 127.0.0.1 - Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/32.0.1700.107 Safari/537.36
Date/Hour: 12-02-2014/17:09:48 - Username:  - Request: login - Answer: ok - Details: 127.0.0.1 - Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/32.0.1700.107 Safari/537.36
Date/Hour: 12-02-2014/17:17:31 - Username: biagio.saitta - Request: login - Answer: denied - Details: 127.0.0.1 - Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/32.0.1700.107 Safari/537.36
Date/Hour: 12-02-2014/17:17:31 - Username: biagio.saitta - Request: login - Answer: ok - Details: 127.0.0.1 - Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/32.0.1700.107 Safari/537.36
Date/Hour: 12-02-2014/17:17:44 - Username: utente.primo - Request: login - Answer: denied - Details: 127.0.0.1 - Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/32.0.1700.107 Safari/537.36
Date/Hour: 12-02-2014/17:17:44 - Username: utente.primo - Request: login - Answer: ok - Details: 127.0.0.1 - Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/32.0.1700.107 Safari/537.36
Date/Hour: 12-02-2014/17:17:46 - Username:  - Request: login - Answer: denied - Details: 127.0.0.1 - Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/32.0.1700.107 Safari/537.36
Date/Hour: 12-02-2014/17:17:46 - Username:  - Request: login - Answer: ok - Details: 127.0.0.1 - Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/32.0.1700.107 Safari/537.36
Date/Hour: 12-02-2014/17:17:56 - Username: biagio.saitta - Request: login - Answer: ok - Details: 127.0.0.1 - Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/32.0.1700.107 Safari/537.36
Date/Hour: 12-02-2014/20:22:04 - Username:  - Request: login - Answer: denied - Details: 127.0.0.1 - Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/32.0.1700.107 Safari/537.36
Date/Hour: 12-02-2014/20:22:04 - Username:  - Request: login - Answer: ok - Details: 127.0.0.1 - Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/32.0.1700.107 Safari/537.36
